zip,2018-07
29607,207000.00
29609,195500
29615,237000.00
29617,150600
29640,122600
29642,185500
29644,170700
29650,219600
29662,
29680,192300
29681,242000.00
29687,171100
29690,198400
29710,239000.00
29730,154700
29732,183100
29745,187000.00
29803,172700
29841,124700
29860,180400
30002,279300
30004,337600
30005,439900
30008,167400
30009,376200
30011,175500
30013,141300
30014,150100
30017,
30019,
30022,378300
30024,348400
30025,205800
30028,274200
30030,399500
30032,148600
30033,317800
30039,
30040,307400
30041,327800
30043,
30044,
30045,
30046,
30052,213700
30060,192400
30062,312200
30064,275800
30066,245600
30068,406300
30071,232300
30076,344700
30078,
30080,261300
30082,272200
30083,124600
30084,229600
30087,197800
30088,111700
30092,302800
30093,
30094,165700
30096,
30097,
30101,244400
30102,197900
30106,162000.00
30107,229900
30114,247500
30115,268900
30116,139800
30117,136900
30120,158700
30121,159700
30122,126700
30126,244400
30127,201500
30132,196400
30134,148100
30135,187100
30141,174100
30143,220700
30144,211400
30152,235100
30157,172200
30168,146200
30179,141000.00
30180,160300
30188,234100
30189,238300
30213,165100
30214,
30238,
30252,219500
30265,227600
30269,310500
30273,
30276,258600
30277,276900
30281,155800
30290,
30297,
30306,565300
30308,271200
30309,296200
30310,
30312,337000.00
30316,286200
30317,381000.00
30318,
30319,462300
30324,316500
30326,358500
30328,300500
30329,432400
30338,425500
30339,293000.00
30341,329800
30345,398400
30518,236400
30519,
30534,240800
30620,183900
30655,184200
30656,175500
30680,166900
30736,176700
30809,247300
30907,144400
30909,
32003,254100
32034,
32043,202400
32065,204500
32068,177300
32073,168600
32080,345100
32081,366400
32084,215200
32086,222700
32092,258600
32095,354200
32097,
32117,113600
32118,184600
32119,172900
32127,224200
32128,277400
32129,174700
32132,154500
32137,
32141,165900
32159,204600
32168,199400
32169,343300
32174,237500
32176,216600
32205,147400
32210,129100
32211,120000.0
32216,147200
32217,176800
32218,157500
32221,172300
32222,190700
32223,256500
32224,276800
32225,225700
32226,226300
32244,143200
32246,175600
32250,358100
32256,155600
32257,193100
32258,225500
32259,330200
32703,209500
32707,191800
32708,248900
32712,262600
32713,225300
32720,189000.00
32724,197100
32725,164700
32726,159600
32736,257000.00
32738,166900
32746,295800
32750,223100
32751,284800
32757,248200
32763,157700
32765,285000.00
32766,363600
32771,217100
32773,170300
32778,187000.00
32779,314600
32792,227500
32796,142200
32803,309100
32804,297400
32806,257200
32807,185800
32809,158200
32810,173200
32811,113600
32812,249800
32814,538400
32817,243000.00
32818,184500
32819,317900
32820,286000.00
32821,207500
32824,251000.00
32825,238000.00
32826,217700
32827,353400
32828,274800
32829,240500
32832,308700
32836,422200
32837,248500
32901,168400
32903,301300
32904,238200
32905,141500
32907,171500
32908,160100
32909,164000.00
32927,175000.00
32931,311400
32935,162900
32937,290400
32940,287500
32951,381300
32952,265200
32955,244400
33009,217100
33012,183900
33013,293700
33014,254000.00
33015,242400
33016,212200
33018,334000.00
33019,359500
33020,208300
33021,239400
33023,242400
33024,260200
33025,221200
33028,409700
33029,433400
33030,214500
33032,
33034,132300
33056,229100
33062,328700
33063,
33064,194100
33066,135800
33067,450800
33068,181000.00
33069,159900
33071,353000.00
33073,344600
33076,506300
33125,187000.00
33126,189400
33127,233600
33129,452200
33130,297500
33134,475500
33138,445300
33139,349400
33141,245100
33142,167900
33144,334900
33145,333800
33146,917100
33147,165100
33154,634700
33155,342800
33157,310300
33161,207600
33162,231000.00
33165,347600
33167,199500
33168,195800
33170,
33172,182000.00
33173,278700
33175,308100
33178,343300
33179,154400
33180,319100
33181,164900
33182,353000.00
33183,242500
33184,285700
33185,356000.00
33186,280300
33187,373800
33189,274600
33190,238400
33196,313700
33308,388000.00
33309,187400
33311,180000.0
33312,282100
33313,74500
33317,288000.00
33319,90000
33321,185700
33323,341900
33324,225000.00
33325,386500
33326,334100
33327,534000.00
33328,349800
33331,419700
33332,573100
