Zip,Longitude,Latitude,MedianSalesPrice,QualifyingIncome,HousingAffordabilityIndex
2343,-71.003,42.144,331700,"$67,013.00",90.0362663325195
2346,-70.882,41.915,298200,"$60,245.03",100.151004502001
2347,-70.96,41.843999999999994,362800,"$73,296.10",82.3181630168046
2351,-70.96,42.117,348300,"$70,366.68",85.7451321920664
2359,-70.801,42.066,357900,"$72,306.15",83.4451789396388
2360,-70.639,41.886,357300,"$72,184.94",83.5853051847095
2368,-71.056,42.17100000000001,337200,"$68,124.16",88.5677032695632
2370,-70.885,41.95399999999999,324900,"$65,639.20",91.9206818790296
2382,-70.941,42.078,324200,"$65,497.78",92.1191534315136
2420,-71.217,42.456,957600,"$193,462.90",31.1873742089565
2421,-71.226,42.443000000000005,957500,"$193,442.70",31.1906313759757
2445,-71.14399999999999,42.318000000000005,1029600,"$208,008.99",29.0064389495889
2446,-71.123,42.343,896700,"$181,159.34",33.3054862746701
2451,-71.245,42.398999999999994,535300,"$108,146.09",55.7912003409242
2453,-71.232,42.365,537800,"$108,651.16",55.5318511388931
2472,-71.20100000000001,42.363,508400,"$102,711.51",58.7431737657292
2474,-71.16,42.418,685000,"$138,389.82",43.5985832737178
2476,-71.184,42.379,671800,"$135,723.04",44.455238973648
2478,-71.204,42.413000000000004,1063300,"$214,817.36",28.0871151532933
2481,-71.275,42.31100000000001,1386500,"$280,113.11",21.539869846734
2492,-71.25,42.28,978600,"$197,705.51",30.5181172516827
2571,-70.695,41.76,250700,"$50,648.65",119.126563791371
2703,-71.30199999999999,41.93899999999999,285300,"$57,638.85",104.679388512081
2719,-70.87,41.632,271500,"$54,850.85",110.000108812143
2720,-71.166,41.82,214100,"$43,254.39",139.491030091064
2726,-71.154,41.758,291300,"$58,851.03",102.523273403696
2740,-70.95100000000001,41.633,195300,"$39,456.25",152.918738056819
2745,-70.947,41.708999999999996,223700,"$45,193.87",133.504825849337
2747,-71.008,41.638999999999996,278900,"$56,345.87",107.081497104685
2760,-71.32600000000001,41.964,336000,"$67,881.72",88.8840164955259
2766,-71.18,41.958999999999996,318900,"$64,427.03",93.6501396754365
2767,-71.04899999999999,41.937,396500,"$80,104.47",75.3216381904079
2771,-71.319,41.84,310300,"$62,689.58",96.2456640106243
2777,-71.234,41.766999999999996,276300,"$55,820.59",108.089140580878
2780,-71.093,41.858999999999995,250800,"$50,668.86",119.07906516147
2790,-71.08,41.615,328800,"$66,427.11",90.8303818202455
2806,-71.32,41.743,,$0.00,
2816,-71.637,41.693999999999996,,$0.00,
2842,-71.273,41.52,317800,"$64,204.79",93.9742905679569
2852,-71.465,41.586999999999996,335100,"$67,699.89",89.1227381154781
2860,-71.393,41.875,174000,"$35,153.03",171.638100818947
2861,-71.37,41.878,208200,"$42,062.42",143.443945929379
